name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Absolute Beginners,PG-13,Drama,1986,"April 18, 1986 (United States)",5.6,3200,Julien Temple,Colin MacInnes,Patsy Kensit,United Kingdom,,930211,Goldcrest Films International,108
Deadtime Stories,R,Comedy,1986,"November 28, 1986 (United States)",4.7,1800,Jeffrey Delman,Jeffrey Delman,Scott Valentine,United States,,2750741,Scary Stuff,93
Avenging Force,R,Action,1986,"September 12, 1986 (United States)",5.8,2600,Sam Firstenberg,James Booth,Michael Dudikoff,United States,4000000,4679650,The Cannon Group,104
Heat,R,Action,1986,"March 13, 1987 (United States)",5.6,1900,Dick Richards,William Goldman,Burt Reynolds,United States,17000000,2793214,Escalante Productions,101
Sweet Liberty,PG,Comedy,1986,"May 16, 1986 (United States)",5.8,2600,Alan Alda,Alan Alda,Alan Alda,United States,,14205021,Universal Pictures,106
Killer Party,R,Comedy,1986,"May 9, 1986 (United States)",5.1,1800,William Fruet,Barney Cohen,Martin Hewitt,Canada,,,Marquis,91
Out of Bounds,R,Action,1986,"July 25, 1986 (United States)",5.4,1400,Richard Tuggle,Tony Kayden,Anthony Michael Hall,United States,,5099316,Columbia Pictures,93
Wisdom,R,Crime,1986,"January 2, 1987 (United States)",5.7,3100,Emilio Estevez,Emilio Estevez,Emilio Estevez,United States,,5715174,Gladden Entertainment,109
Shanghai Surprise,PG-13,Adventure,1986,"August 29, 1986 (United States)",3.2,5000,Jim Goddard,John Kohn,Sean Penn,United Kingdom,17000000,2315683,HandMade Films,97
Power,R,Drama,1986,"January 31, 1986 (United States)",5.7,2700,Sidney Lumet,David Himmelstein,Richard Gere,United States,16000000,3800000,Lorimar Productions,111
A Fine Mess,PG,Action,1986,"August 8, 1986 (United States)",4.7,1400,Blake Edwards,Blake Edwards,Ted Danson,United States,,6029824,Blake Edwards,90
Let's Get Harry,R,Action,1986,"October 31, 1986 (United States)",5.2,1200,Director,Mark Feldberg,Michael Schoeffling,United States,,140980,Delphi V Productions,102
My Chauffeur,R,Comedy,1986,"January 24, 1986 (United States)",5.6,1900,David Beaird,David Beaird,Deborah Foreman,United States,,4781448,Marimark Productions,97
Biggles: Adventures in Time,PG,Adventure,1986,"January 29, 1988 (United States)",5.7,2800,John Hough,W.E. Johns,Neil Dickson,United Kingdom,,,Compact Yellowbill,108
Half Moon Street,R,Drama,1986,"September 26, 1986 (United States)",5.4,2500,Bob Swaim,Edward Behr,Sigourney Weaver,United Kingdom,,1131399,Centurion,90
Every Time We Say Goodbye,PG-13,Drama,1986,"November 14, 1986 (United States)",5.9,2300,Moshé Mizrahi,Moshé Mizrahi,Tom Hanks,Israel,,278623,Delphi V Productions,98
The Decline of the American Empire,R,Comedy,1986,"November 14, 1986 (United States)",7.2,8000,Denys Arcand,Denys Arcand,Dominique Michel,Canada,,1915792,Corporation Image M & M,101
Hardbodies 2,R,Comedy,1986,"September 12, 1986 (United States)",3.2,1100,Mark Griffiths,Mark Griffiths,James Karen,United States,,78068,Chroma III Productions,88
The Boy in Blue,R,Biography,1986,"January 17, 1986 (United States)",5.3,1100,Charles Jarrott,Douglas Bowie,Nicolas Cage,Canada,,275000,Canadian Broadcasting Corporation (CBC),100
Brighton Beach Memoirs,PG-13,Comedy,1986,"December 25, 1986 (United States)",6.8,3400,Gene Saks,Neil Simon,Blythe Danner,United States,18000000,11957943,Rastar Pictures,108
The Longshot,PG-13,Comedy,1986,"January 17, 1986 (United States)",5.4,565,Paul Bartel,Tim Conway,Tim Conway,United States,,,Orion Pictures,89
Willy/Milly,PG-13,Comedy,1986,"November 14, 1986 (United States)",5.6,454,Paul Schneider,Alan Friedman,Pamela Adlon,United States,,277405,Griffon Productions,86
Ginger and Fred,PG-13,Comedy,1986,"March 28, 1986 (United States)",7.3,4900,Federico Fellini,Federico Fellini,Marcello Mastroianni,Italy,,837623,Produzioni Europee Associate (PEA),125
'Round Midnight,R,Drama,1986,"October 3, 1986 (United States)",7.4,4700,Bertrand Tavernier,David Rayfiel,Dexter Gordon,United States,,3272593,Little Bear,133
Violets Are Blue...,PG-13,Drama,1986,"April 25, 1986 (United States)",5.9,906,Jack Fisk,Naomi Foner,Sissy Spacek,United States,10000000,4743287,Rastar Films,88
Parting Glances,Not Rated,Drama,1986,"February 19, 1986 (United States)",7.2,2800,Bill Sherwood,Bill Sherwood,John Bolger,United States,,,Rondo Productions,90
The Whoopee Boys,R,Comedy,1986,"August 22, 1986 (United States)",5.9,783,John Byrum,Steve Zacharias,Michael O'Keefe,United States,,,Paramount Pictures,88
Tai-Pan,R,Adventure,1986,"November 7, 1986 (United States)",5.6,1600,Daryl Duke,John Briley,Bryan Brown,United States,25000000,4007250,De Laurentiis Entertainment Group (DEG),127
My Little Pony: The Movie,G,Animation,1986,"June 6, 1986 (United States)",6,2500,Directors,George Arthur Bloom,Danny DeVito,United States,,5958456,Sunbow Productions,86
Playing for Keeps,PG-13,Comedy,1986,"October 3, 1986 (United States)",4.2,616,Bob Weinstein,Bob Weinstein,Daniel Jordano,United States,,2669366,Miramax,102
"'night, Mother",PG-13,Drama,1986,"January 29, 1987 (Australia)",7.6,2100,Tom Moore,Marsha Norman,Sissy Spacek,United States,,441863,Aaron Spelling Productions,96
Jake Speed,PG,Action,1986,"May 30, 1986 (United States)",5.2,879,Andrew Lane,Wayne Crawford,Wayne Crawford,United States,,1943751,Balcor Film Investors,105
The Naked Cage,R,Action,1986,"March 7, 1986 (United States)",5.2,543,Paul Nicholas,Paul Nicholas,Shari Shattuck,United States,,3136701,The Cannon Group,97
Blue City,R,Action,1986,"May 2, 1986 (United States)",4.4,1100,Michelle Manning,Ross Macdonald,Judd Nelson,United States,10000000,6947787,Paramount Pictures,83
That's Life!,PG-13,Comedy,1986,"October 10, 1986 (United States)",6,1400,Blake Edwards,Milton Wexler,Jack Lemmon,United States,,4079895,Blake Edwards,102
Sky Bandits,PG,Action,1986,"October 31, 1986 (United States)",4.6,258,Zoran Perisic,Thom Keyes,Scott McGinnis,United Kingdom,18000000,2295500,J&M Entertainment,105
Ménage,,Comedy,1986,"October 1, 1986 (United States)",7,2700,Bertrand Blier,Bertrand Blier,Gérard Depardieu,France,,925952,Ciné Valse,84
Dream Lover,R,Crime,1986,"April 2, 1986 (France)",4.9,503,Alan J. Pakula,Jon Boorstin,Kristy McNichol,United States,,502237,Metro-Goldwyn-Mayer (MGM),104
Dangerously Close,R,Action,1986,"May 9, 1986 (United States)",5.6,1200,Albert Pyun,Scott Fields,John Stockwell,United States,,2390525,Golan-Globus Productions,95
The Whistle Blower,PG,Thriller,1986,"July 10, 1987 (United States)",6.2,2000,Simon Langton,Julian Bond,Michael Caine,United Kingdom,,1500000,Portreeve,100
Care Bears Movie II: A New Generation,G,Animation,1986,"March 21, 1986 (United States)",5.5,2200,Dale Schott,Peter Sauder,Maxine Miller,Canada,,8540346,Nelvana,76
Knights of the City,R,Action,1986,"February 14, 1986 (United States)",4.8,153,Dominic Orlando,Leon Isaac Kennedy,Leon Isaac Kennedy,United States,,601451,Grace,87
Born American,R,Action,1986,"December 19, 1986 (Finland)",4.1,1900,Renny Harlin,Renny Harlin,Mike Norris,United States,3401376,3388020,Cinema Group Ventures,95
Desert Bloom,PG,Drama,1986,"April 18, 1986 (United States)",6.6,937,Eugene Corr,Linda Remy,Jon Voight,United States,,416393,Carson Productions,105
Touch and Go,R,Comedy,1986,"August 22, 1986 (United States)",5.7,818,Robert Mandel,Alan Ormsby,Michael Keaton,United States,,1254040,Kings Road Entertainment,101
Man Facing Southeast,R,Drama,1986,"March 13, 1987 (United States)",7.7,3800,Eliseo Subiela,Eliseo Subiela,Lorenzo Quinteros,Argentina,600000,,Cinequanon,105
Nutcracker,G,Family,1986,"November 26, 1986 (United States)",7.2,1000,Carroll Ballard,Kent Stowell,Hugh Duncan Bigney Mitchell,United States,,781727,Hyperion Pictures,89
The Fringe Dwellers,PG,Drama,1986,October 1986 (United States),6.7,377,Bruce Beresford,Bruce Beresford,Kristina Nehm,Australia,,,Fringe Dwellers Productions,98
Just Between Friends,PG-13,Drama,1986,"March 21, 1986 (United States)",5.9,735,Allan Burns,Allan Burns,Mary Tyler Moore,United States,,6408791,MTM Enterprises,110
Oviri,R,Biography,1986,"September 5, 1986 (Denmark)",6,367,Henning Carlsen,Henning Carlsen,Donald Sutherland,Denmark,,583800,Caméras Continentales,90
P.O.W. the Escape,R,Action,1986,"April 4, 1986 (United States)",5,533,Gideon Amir,Malcolm Barbour,David Carradine,United States,,2497233,,90
Armed Response,R,Action,1986,"October 3, 1986 (United States)",5,592,Fred Olen Ray,T.L. Lankford,David Carradine,United States,1500000,,Cinetel Films,86
Duet for One,R,Drama,1986,February 1987 (United States),6.8,840,Andrey Konchalovskiy,Tom Kempinski,Julie Andrews,United States,,8736,Golan-Globus Productions,107
Bullies,R,Action,1986,"August 29, 1986 (United States)",5.3,453,Paul Lynch,John Sheppard,Jonathan Crombie,Canada,,2995527,Simcom Limited,90
Native Son,PG,Drama,1986,"December 12, 1986 (United States)",5.8,525,Jerrold Freedman,Richard Wesley,Victor Love,United States,2000000,1301121,American Playhouse,111
The Assault,PG,Drama,1986,"February 6, 1986 (Netherlands)",7.2,3100,Fons Rademakers,Gerard Soeteman,Derek de Lint,Netherlands,,512403,Fons Rademakers Produktie,144
Nobody's Fool,PG-13,Comedy,1986,"November 7, 1986 (United States)",5.5,754,Evelyn Purcell,Beth Henley,Rosanna Arquette,United States,,563358,Island Pictures,107
Alien Predator,R,Drama,1986,"February 6, 1987 (United States)",3.7,922,Deran Sarafian,Deran Sarafian,Dennis Christopher,United States,,,Continental Motion Pictures,90
Low Blow,R,Action,1986,April 1986 (United States),4,437,Frank Harris,Leo Fong,Leo Fong,United States,,,Action Communications,90
A Man and a Woman: 20 Years Later,PG,Drama,1986,"August 15, 1986 (United States)",5.9,675,Claude Lelouch,Claude Lelouch,Anouk Aimée,France,,,Les Films 13,102
The Princess Bride,PG,Adventure,1987,"October 9, 1987 (United States)",8.1,402000,Rob Reiner,William Goldman,Cary Elwes,United Kingdom,16000000,30902642,Act III Communications,98
The Lost Boys,R,Comedy,1987,"July 31, 1987 (United States)",7.3,128000,Joel Schumacher,Jan Fischer,Jason Patric,United States,,32388898,Warner Bros.,97
Full Metal Jacket,R,Drama,1987,"July 10, 1987 (United States)",8.3,691000,Stanley Kubrick,Stanley Kubrick,Matthew Modine,United Kingdom,30000000,46357676,Natant,116
Predator,R,Action,1987,"June 12, 1987 (United States)",7.8,381000,John McTiernan,Jim Thomas,Arnold Schwarzenegger,United States,15000000,98268458,Twentieth Century Fox,107
RoboCop,R,Action,1987,"July 17, 1987 (United States)",7.5,240000,Paul Verhoeven,Edward Neumeier,Peter Weller,United States,13000000,53424681,Orion Pictures,102
Dirty Dancing,PG-13,Drama,1987,"August 21, 1987 (United States)",7,211000,Emile Ardolino,Eleanor Bergstein,Patrick Swayze,United States,6000000,214577242,Great American Films Limited Partnership,100
Adventures in Babysitting,PG-13,Adventure,1987,"July 3, 1987 (United States)",6.9,40000,Chris Columbus,David Simkins,Elisabeth Shue,United States,7000000,34368475,Touchstone Pictures,102
The Untouchables,R,Crime,1987,"June 3, 1987 (United States)",7.9,289000,Brian De Palma,David Mamet,Kevin Costner,United States,25000000,76270454,Paramount Pictures,119
Spaceballs,PG,Adventure,1987,"June 24, 1987 (United States)",7.1,176000,Mel Brooks,Mel Brooks,Mel Brooks,United States,22700000,38119483,Brooksfilms,96
Raising Arizona,PG-13,Comedy,1987,"April 17, 1987 (United States)",7.3,130000,Joel Coen,Ethan Coen,Nicolas Cage,United States,6000000,29180280,Circle Films,94
Lethal Weapon,R,Action,1987,"March 6, 1987 (United States)",7.6,243000,Richard Donner,Shane Black,Mel Gibson,United States,15000000,120207127,Warner Bros.,109
Near Dark,R,Action,1987,"January 8, 1988 (United Kingdom)",7,35000,Kathryn Bigelow,Kathryn Bigelow,Adrian Pasdar,United States,5000000,3369307,F/M,94
Mannequin,PG,Comedy,1987,"February 13, 1987 (United States)",5.9,30000,Michael Gottlieb,Edward Rugoff,Andrew McCarthy,United States,6000000,42721196,Gladden Entertainment,90
Masters of the Universe,PG,Action,1987,"August 7, 1987 (United States)",5.4,38000,Gary Goddard,David Odell,Dolph Lundgren,United States,22000000,17336370,Golan-Globus Productions,106
Fatal Attraction,R,Drama,1987,"September 18, 1987 (United States)",6.9,79000,Adrian Lyne,James Dearden,Michael Douglas,United States,14000000,320145693,Paramount Pictures,119
Hellraiser,R,Horror,1987,"September 18, 1987 (United States)",7,108000,Clive Barker,Clive Barker,Andrew Robinson,United Kingdom,,14575193,New World Pictures,94
Empire of the Sun,PG,Action,1987,"December 25, 1987 (United States)",7.7,119000,Steven Spielberg,Tom Stoppard,Christian Bale,United States,35000000,22238696,Amblin Entertainment,153
No Way Out,R,Action,1987,"August 14, 1987 (United States)",7.1,37000,Roger Donaldson,Kenneth Fearing,Kevin Costner,United States,15000000,35509515,Orion Pictures,114
The Witches of Eastwick,R,Comedy,1987,"June 12, 1987 (United States)",6.6,65000,George Miller,John Updike,Jack Nicholson,United States,22000000,63766510,Warner Bros.,118
Some Kind of Wonderful,PG-13,Drama,1987,"February 27, 1987 (United States)",7.1,29000,Howard Deutch,John Hughes,Eric Stoltz,United States,,18553948,Hughes Entertainment,95
The Running Man,R,Action,1987,"November 13, 1987 (United States)",6.7,144000,Paul Michael Glaser,Stephen King,Arnold Schwarzenegger,United States,27000000,38122105,TAFT Entertainment Pictures,101
Black Widow,R,Crime,1987,"February 6, 1987 (United States)",6.4,9000,Bob Rafelson,Ronald Bass,Debra Winger,United States,10500000,25205460,Amercent Films,102
Angel Heart,X,Horror,1987,"March 6, 1987 (United States)",7.3,83000,Alan Parker,William Hjortsberg,Mickey Rourke,United Kingdom,17000000,17186348,Carolco International N.V.,113
Moonstruck,PG,Comedy,1987,"January 15, 1988 (United States)",7.1,53000,Norman Jewison,John Patrick Shanley,Cher,United States,15000000,80642217,Metro-Goldwyn-Mayer (MGM),102
Jaws: the Revenge,PG-13,Adventure,1987,"July 17, 1987 (United States)",3,42000,Joseph Sargent,Peter Benchley,Lorraine Gary,United States,23000000,51881013,Universal Pictures,89
Wall Street,R,Crime,1987,"December 11, 1987 (United States)",7.4,147000,Oliver Stone,Stanley Weiser,Charlie Sheen,United States,15000000,43848069,Twentieth Century Fox,126
"Good Morning, Vietnam",R,Biography,1987,"January 15, 1988 (United States)",7.3,131000,Barry Levinson,Mitch Markowitz,Robin Williams,United States,13000000,123922370,Touchstone Pictures,121
A Nightmare on Elm Street 3: Dream Warriors,R,Fantasy,1987,"February 27, 1987 (United States)",6.6,73000,Chuck Russell,Wes Craven,Heather Langenkamp,United States,4500000,44793222,New Line Cinema,96
"Planes, Trains & Automobiles",R,Comedy,1987,"November 25, 1987 (United States)",7.6,128000,John Hughes,John Hughes,Steve Martin,United States,30000000,49530280,Paramount Pictures,93
Can't Buy Me Love,PG-13,Comedy,1987,"August 14, 1987 (United States)",6.8,34000,Steve Rash,Michael Swerdlick,Patrick Dempsey,United States,,31623833,Touchstone Pictures,94
Overboard,PG,Comedy,1987,"December 16, 1987 (United States)",6.9,55000,Garry Marshall,Leslie Dixon,Goldie Hawn,United States,22000000,26713187,Metro-Goldwyn-Mayer (MGM),112
Beverly Hills Cop II,R,Action,1987,"May 20, 1987 (United States)",6.5,111000,Tony Scott,Danilo Bach,Eddie Murphy,United States,28000000,299965036,Paramount Pictures,100
Superman IV: The Quest for Peace,PG,Action,1987,"July 24, 1987 (United States)",3.7,44000,Sidney J. Furie,Jerry Siegel,Christopher Reeve,United Kingdom,17000000,15681020,Cannon Films,90
The Secret of My Success,PG-13,Comedy,1987,"April 10, 1987 (United States)",6.5,31000,Herbert Ross,Jim Cash,Michael J. Fox,United States,12000000,110996879,Rastar Pictures,111
Withnail & I,R,Comedy,1987,"June 19, 1987 (United States)",7.6,41000,Bruce Robinson,Bruce Robinson,Richard E. Grant,United Kingdom,,1628359,Cineplex Odeon Films,107
Evil Dead II,R,Comedy,1987,"March 13, 1987 (United States)",7.7,152000,Sam Raimi,Sam Raimi,Bruce Campbell,United States,3600000,5923798,Renaissance Pictures,84
Summer School,PG-13,Comedy,1987,"July 22, 1987 (United States)",6.6,18000,Carl Reiner,Stuart Birnbaum,Mark Harmon,United States,,35659098,Paramount Pictures,97
Innerspace,PG,Action,1987,"July 1, 1987 (United States)",6.8,56000,Joe Dante,Chip Proser,Dennis Quaid,United States,27000000,25893810,Warner Bros.,120
The Living Daylights,PG,Action,1987,"July 31, 1987 (United States)",6.7,91000,John Glen,Richard Maibaum,Timothy Dalton,United Kingdom,40000000,51186259,Eon Productions,130
Over the Top,PG,Action,1987,"February 13, 1987 (United States)",5.8,51000,Menahem Golan,Gary Conway,Sylvester Stallone,United States,25000000,16057580,The Cannon Group,93
The Last Emperor,PG-13,Biography,1987,"April 15, 1988 (United States)",7.7,97000,Bernardo Bertolucci,Mark Peploe,John Lone,United Kingdom,,43993869,Recorded Picture Company (RPC),163
Less Than Zero,R,Crime,1987,"November 6, 1987 (United States)",6.4,19000,Marek Kanievska,Bret Easton Ellis,Andrew McCarthy,United States,,12396383,Twentieth Century Fox,98
Three Men and a Baby,PG,Comedy,1987,"November 25, 1987 (United States)",6.1,50000,Leonard Nimoy,Coline Serreau,Tom Selleck,United States,11000000,167780960,Touchstone Pictures,102
La Bamba,PG-13,Biography,1987,"July 24, 1987 (United States)",6.9,30000,Luis Valdez,Luis Valdez,Lou Diamond Phillips,United States,6500000,54215416,Columbia Pictures,108
Revenge of the Nerds II: Nerds in Paradise,PG-13,Comedy,1987,"July 10, 1987 (United States)",5.1,14000,Joe Roth,Tim Metcalfe,Robert Carradine,United States,,30063289,Twentieth Century Fox,88
The Monster Squad,PG-13,Action,1987,"August 14, 1987 (United States)",7,30000,Fred Dekker,Shane Black,Andre Gower,United States,12000000,3769990,TAFT Entertainment Pictures,79
Prince of Darkness,R,Horror,1987,"October 23, 1987 (United States)",6.7,39000,John Carpenter,John Carpenter,Donald Pleasence,United States,3000000,14182492,Alive Films,102
Wings of Desire,PG-13,Drama,1987,"May 6, 1988 (United States)",8,67000,Wim Wenders,Wim Wenders,Bruno Ganz,West Germany,,3404057,Road Movies Filmproduktion,128
Maurice,R,Drama,1987,"September 18, 1987 (United States)",7.7,17000,James Ivory,E.M. Forster,James Wilby,United Kingdom,,2642567,Merchant Ivory Productions,140
Broadcast News,R,Comedy,1987,"December 25, 1987 (United States)",7.2,28000,James L. Brooks,James L. Brooks,William Hurt,United States,20000000,67331309,Amercent Films,133
Harry and the Hendersons,PG,Comedy,1987,"June 5, 1987 (United States)",6,32000,William Dear,William Dear,John Lithgow,United States,10000000,49998613,Amblin Entertainment,110
Creepshow 2,R,Fantasy,1987,"May 1, 1987 (United States)",6.1,23000,Michael Gornick,Stephen King,George Kennedy,United States,3500000,14000000,New World Pictures,92
Police Academy 4: Citizens on Patrol,PG,Comedy,1987,"April 3, 1987 (United States)",5,41000,Jim Drake,Neal Israel,Steve Guttenberg,United States,,28061343,Warner Bros.,88
The Stepfather,R,Horror,1987,"June 5, 1987 (United States)",6.8,14000,Joseph Ruben,Carolyn Lefcourt,Terry O'Quinn,United Kingdom,,2488740,Incorporated Television Company (ITC),89
My Best Friend Is a Vampire,PG,Comedy,1987,"May 6, 1988 (United States)",6.1,3300,Jimmy Huston,Tab Murphy,Robert Sean Leonard,United States,,174380,Kings Road Entertainment,89
Flowers in the Attic,PG-13,Drama,1987,"November 20, 1987 (United States)",5.7,9500,Jeffrey Bloom,Virginia C. Andrews,Louise Fletcher,United States,,15151736,New World Pictures,93
*batteries not included,PG,Comedy,1987,"December 18, 1987 (United States)",6.7,32000,Matthew Robbins,Mick Garris,Hume Cronyn,United States,25000000,65088797,Universal Pictures,106
Roxanne,PG,Comedy,1987,"June 19, 1987 (United States)",6.6,42000,Fred Schepisi,Edmond Rostand,Steve Martin,United States,12000000,40050884,Columbia Pictures Industries,107
Dragnet,PG-13,Comedy,1987,"June 26, 1987 (United States)",6,33000,Tom Mankiewicz,Dan Aykroyd,Dan Aykroyd,United States,20000000,66673516,Applied Action,106
Throw Momma from the Train,PG-13,Comedy,1987,"December 11, 1987 (United States)",6.3,35000,Danny DeVito,Stu Silver,Danny DeVito,United States,14000000,57915972,Orion Pictures,88
Amazon Women on the Moon,R,Comedy,1987,"September 18, 1987 (United States)",6.2,10000,Directors,Michael Barrie,Rosanna Arquette,United States,,548696,Universal Pictures,85
Teen Wolf Too,PG,Comedy,1987,"November 20, 1987 (United States)",3.4,11000,Christopher Leitch,Jeph Loeb,Jason Bateman,United States,3000000,7888703,Atlantic Entertainment Group,95
Baby Boom,PG,Comedy,1987,"October 30, 1987 (United States)",6.3,14000,Charles Shyer,Nancy Meyers,Diane Keaton,United States,,26712476,United Artists,110
84 Charing Cross Road,PG,Biography,1987,"February 13, 1987 (United States)",7.5,9500,David Hugh Jones,Helene Hanff,Anne Bancroft,United Kingdom,,1083486,Brooksfilms,100
The Gate,PG-13,Fantasy,1987,"May 15, 1987 (United States)",6.1,16000,Tibor Takács,Michael Nankin,Stephen Dorff,Canada,,13539458,New Century Entertainment,85
Ernest Goes to Camp,PG,Comedy,1987,"May 22, 1987 (United States)",5.5,11000,John R. Cherry III,John R. Cherry III,Jim Varney,United States,3500000,23509382,Emshell Producers,92
Aria,R,Comedy,1987,"September 15, 1987 (United States)",5.8,2600,Directors,Robert Altman,John Hurt,United Kingdom,,1028679,Lightyear Entertainment,90
Hamburger Hill,R,Action,1987,"August 28, 1987 (United States)",6.7,24000,John Irvin,James Carabatsos,Anthony Barrile,United States,,13839404,RKO Pictures,110
Cherry 2000,PG-13,Action,1987,"February 5, 1988 (United States)",5.6,9100,Steve De Jarnatt,Lloyd Fonvielle,Melanie Griffith,United States,10000000,,Orion Pictures,99
The Hidden,R,Horror,1987,"October 30, 1987 (United States)",7,18000,Jack Sholder,Jim Kouf,Kyle MacLachlan,United States,5000000,9747988,Heron Communications,97
The Bedroom Window,R,Crime,1987,"January 16, 1987 (United States)",6.4,5100,Curtis Hanson,Anne Holden,Steve Guttenberg,United States,8300000,12640385,De Laurentiis Entertainment Group (DEG),112
Barfly,R,Comedy,1987,"October 16, 1987 (United States)",7.2,19000,Barbet Schroeder,Charles Bukowski,Mickey Rourke,United States,3000000,3221568,Golan-Globus Productions,100
Maid to Order,PG,Fantasy,1987,"July 31, 1987 (United States)",5.5,3300,Amy Holden Jones,Amy Holden Jones,Ally Sheedy,United States,3000000,9868521,Vista Organization,93
Blind Date,PG-13,Comedy,1987,"March 27, 1987 (United States)",6,21000,Blake Edwards,Dale Launer,Kim Basinger,United States,18000000,39337581,TriStar Pictures,95
Au Revoir les Enfants,PG,Drama,1987,"February 12, 1988 (United States)",8,32000,Louis Malle,Louis Malle,Gaspard Manesse,France,,4575613,Nouvelles Éditions de Films (NEF),104
"Rita, Sue and Bob Too",R,Comedy,1987,"May 29, 1987 (United Kingdom)",6.5,3600,Alan Clarke,Andrea Dunbar,Siobhan Finneran,United Kingdom,,124167,British Screen Productions,93
Hope and Glory,PG-13,Comedy,1987,"February 19, 1988 (United States)",7.3,13000,John Boorman,John Boorman,Sarah Miles,United Kingdom,,10021120,Columbia Pictures,113
No Man's Land,R,Crime,1987,"October 23, 1987 (United States)",6.1,4400,Peter Werner,Dick Wolf,Charlie Sheen,United States,8000000,2877571,Orion Pictures,106
Ishtar,PG-13,Action,1987,"May 15, 1987 (United States)",4.5,11000,Elaine May,Elaine May,Warren Beatty,United States,55000000,14375181,Columbia Pictures,107
Tough Guys Don't Dance,R,Comedy,1987,"September 18, 1987 (United States)",4.8,1300,Norman Mailer,Norman Mailer,Ryan O'Neal,United States,5000000,858250,Golan-Globus Productions,110
Stakeout,R,Action,1987,"August 5, 1987 (United States)",6.6,24000,John Badham,Jim Kouf,Richard Dreyfuss,United States,,65673233,Touchstone Pictures,117
Babette's Feast,G,Drama,1987,"March 4, 1988 (United States)",7.8,19000,Gabriel Axel,Karen Blixen,Stéphane Audran,Denmark,,4637920,Panorama Film A/S,103
The Garbage Pail Kids Movie,PG,Adventure,1987,"August 22, 1987 (United States)",2.6,7600,Rod Amateau,Linda Palmer,Anthony Newley,United States,1000000,1576615,Atlantic Entertainment Group,100
Radio Days,PG,Comedy,1987,"January 30, 1987 (United States)",7.5,32000,Woody Allen,Woody Allen,Mia Farrow,United States,16000000,14792779,Jack Rollins & Charles H. Joffe Productions,88
Bagdad Cafe,PG,Comedy,1987,"April 22, 1988 (United States)",7.4,13000,Percy Adlon,Eleonore Adlon,Marianne Sägebrecht,West Germany,,3731829,Pelemele Film,95
Project X,PG,Comedy,1987,"April 17, 1987 (United States)",6.1,10000,Jonathan Kaplan,Lawrence Lasker,Matthew Broderick,United States,18000000,21589395,Amercent Films,108
Three O'Clock High,PG-13,Comedy,1987,"October 9, 1987 (United States)",7.1,11000,Phil Joanou,Richard Christian Matheson,Casey Siemaszko,United States,6000000,3685862,Aaron Spelling Productions,101
The Barbarians,R,Action,1987,"March 20, 1987 (United States)",5,3600,Ruggero Deodato,Alberto Piferi,David Paul,Italy,4000000,800000,Canon Italia S.r.l.,87
North Shore,PG,Action,1987,"August 14, 1987 (United States)",6.5,2500,William Phelps,William Phelps,Matt Adler,United States,,3832228,Finnegan/Pinchuk Productions,96
The Believers,R,Crime,1987,"June 10, 1987 (United States)",6.1,6500,John Schlesinger,Nicholas Conde,Martin Sheen,United States,13000000,18753438,Orion Pictures,114
House II: the Second Story,PG-13,Comedy,1987,"August 28, 1987 (United States)",5.4,10000,Ethan Wiley,Fred Dekker,Arye Gross,United States,,7800000,New World Pictures,88
Death Wish 4: The Crackdown,R,Action,1987,"November 6, 1987 (United States)",5.4,9100,J. Lee Thompson,Brian Garfield,Charles Bronson,United States,5000000,6880310,Golan-Globus Productions,99
House of Games,R,Crime,1987,"October 14, 1987 (United States)",7.3,21000,David Mamet,David Mamet,Lindsay Crouse,United States,,2585639,Filmhaus,102
Cry Freedom,PG,Biography,1987,"November 6, 1987 (United States)",7.4,13000,Richard Attenborough,John Briley,Denzel Washington,United Kingdom,29000000,5899797,Universal Pictures,157
Man on Fire,R,Action,1987,"September 4, 1987 (France)",5.9,1900,Élie Chouraqui,A.J. Quinnell,Scott Glenn,France,,519596,7 Films Cinéma,92
Assassination,PG-13,Action,1987,"January 9, 1987 (United States)",5.2,3000,Peter R. Hunt,Richard Sale,Charles Bronson,United States,5000000,6075793,The Cannon Group,88
The Pick-up Artist,PG-13,Comedy,1987,"September 18, 1987 (United States)",5.3,6600,James Toback,James Toback,Molly Ringwald,United States,15000000,13290368,Amercent Films,81
Back to the Beach,PG,Comedy,1987,"August 7, 1987 (United States)",5.9,2800,Lyndall Hobbs,James Komack,Frankie Avalon,United States,,13110903,Paramount Pictures,92
Someone to Watch Over Me,R,Crime,1987,"October 9, 1987 (United States)",6.1,9700,Ridley Scott,Howard Franklin,Tom Berenger,United States,12800000,10278549,Columbia Pictures,106
Born in East L.A.,R,Comedy,1987,"August 21, 1987 (United States)",6,5600,Cheech Marin,Cheech Marin,Cheech Marin,United States,,17355263,Clear Type,85
Ironweed,R,Drama,1987,"February 12, 1988 (United States)",6.7,8600,Hector Babenco,William Kennedy,Jack Nicholson,United States,27000000,7393346,Home Box Office (HBO),143
Who's That Girl,PG,Comedy,1987,"August 7, 1987 (United States)",4.8,9600,James Foley,Andrew Smith,Madonna,United States,17000000,7305209,The Guber-Peters Company,92
Extreme Prejudice,R,Action,1987,"April 24, 1987 (United States)",6.6,6400,Walter Hill,John Milius,Nick Nolte,United States,22000000,11307844,Carolco Pictures,104
